titulo,descricao,status,data,sentimento,falta_luz_status
CONTA ABSURDA FORA DO NORMAL !,"Bom dia, hoje quero fazer uma reclamação sobre minha conta de luz, no condominio aonde eu moro aumentou um absurdo ou alguém está",Respondida,2024-02-02,Negativo,normal
CORTE INDEVIDO DE SERVIÇOS,"Prezados,Venho por meio desta expressar minha profunda insatisfação em relação aos serviços prestados pela Light. No dia 06/",Respondida,2024-02-02,Negativo,normal
FALTA DE ENERGIA A MAIS DE 12 HORAS,ONTEM DIA 31/1/2024 AS 21:3 DA NOITE FIQUEI SEM ENERGIA E EM SEGUIDA ENTREI EM CONTATO COM A LIGHT NA QUAL INFORMOU QUE A LUZ SERI,Respondida,2024-02-02,Neutro,falta de luz
FALTA DE ENERGIA,"A queda de luz esta virando rotina, esta ficando realmente complicado, pois a gente perde comida que tem que ser armazenada na gel",Não respondida,2024-02-02,Neutro,falta de luz
Falta de Energia Constante!,"Estamos com falta de energia quase que diariamente, no meu caso já perdi diversos eletrodomésticos e caso de alimentos estragados",Respondida,2024-02-02,Negativo,falta de luz
Descaso total com o consumidor,"Há meses tenho sofrido com a falta de energia toda vez que ameaça chover. em Dezembro, abri uma solicitação para poda de galhos qu",Respondida,2024-02-02,Neutro,normal
CORTE SEM AVISO,"Dia 31/01 a Light cortou a minha energia sem ao menos um aviso. SMS, e-mail, telefone Há cerca de 3 meses entrei em contato com a",Não respondida,2024-02-02,Neutro,falta de luz
Contas em aberto em processo judicial,COMUNIDADE EVANGÉLICA PROJETO VIDA CNPJ: 39.559.976/0001-34 CÓDIGO CLIENTE: 20442765Código instalação: 413595828,Respondida,2024-02-02,Neutro,normal
Vistoria e troca de medidor para GD em extremo atraso,"Me encontro com diversas solicitações de vistorias/ troca de medidores para geração distribuída em extremo atraso, é inadmissível",Respondida,2024-02-02,Neutro,normal
DESENROLA BRASIL - LIGHT,"No dia 04/01/24 paguei a negociação que fiz através do programa do governo Desenrola Brasil, o valor de R$ 361,52 referente a dív",Não respondida,2024-02-02,Negativo,normal
SEM LUZ HÁ 12 HORAS,Estou sem luz desde as 17 horas de ontem.FIO NEUTRO ROMPEU NO ENTRE O POSTE E A MINHA CASA. Fio derreteu e rompeu!,Respondida,2024-02-02,Negativo,falta de luz
Sem energia por mais de 15 horas. Atendimento te desliga na cara,"Não tenho muito a acrescentar que não esteja no título da reclamação, estamos sem energia desde ontem a tarde.Em dezem",Respondida,2024-02-02,Negativo,falta de luz
Descaso da empresa Light,Bom dia. Sou moradora do bairro de Olaria no Rio de Janeiro. Estamos sem luz desde 7:30 da manhã do dia 31/01 e até agora 08:45 do,Respondida,2024-02-02,Negativo,normal
Descaso com cliente,Estamos com falta de abastecimento de luz desde 19/01 em uma das fases do nosso escritório. Essa falta de luz ocasional falta no a,Respondida,2024-02-02,Negativo,normal
Instabilidade e demora excessiva no restabelecimento do serviço,"Sempre houve instabilidade no serviço na rua, mas sempre atribuí as chuvas ou ao calor excessivos. Entretanto, em uma segunda anál",Respondida,2024-02-02,Negativo,normal
O chamado de emergência NÃO FUNCIONA!,"Estou desde 12h de ontem dia 31/01 sem energia na minha residência, desligaram sem mais nem menos, já fiz todas as verificações e",,2024-02-02,Neutro,normal
Barulho insuportável à noite,"Hoje, quinta-feira, 1 de fevereiro, por volta das 00h00, alguns trabalhadores da Luz começaram a quebrar a calçada com martelos, d",Respondida,2024-02-02,Neutro,normal
ALTA DE ENERGIA ELÉTRICA HÁ 13 HORAS,"Ontem, dia 31/1, às 18:06 enviei uma solicitação à Light sobre falta de energia na rua. Moradores da rua procederam da mesma forma",Respondida,2024-02-02,Neutro,normal
LIGHT NÃO ESTÁ FAZENDO MINHA LIGAÇÃO,"Solicitei ligação nova para meu apartamento no dia 17/01/2024, via internet.Até aí tudo bem, nos dias que se seguiram a equi",Não respondida,2024-02-02,Negativo,normal
Falta de energia,Estou desde ontem 18h30 da noite sem energia SOMENTE na minha casa . Agora se completam 12h e eu além de trabalhar de home office,Respondida,2024-02-02,Neutro,falta de luz
Religacao da luz que não houve,"Na terça feira, dia 30/01/2024, cheguei em casa às 15:10 do trabalho e verifiquei que estava sem luz, daí então fui verificar o re",Respondida,2024-02-02,Neutro,normal
Outra reclamação mesmo problema de falta de respeito,Gostaria de pontuar a falta de respeito da Light com os consumidores.Moro no 9 andar de um prédio na Tijuca - Rio de J,Não respondida,2024-02-02,Negativo,falta de luz
Falta de luz e oscilações de fase em todos santos,"É recorrente a falta de luz e oscilações de fases na região de Todos os Santos, Meier e Cachambi. Há inúmeros relatos de pessoas c",Respondida,2024-02-02,Neutro,falta de luz
Desrespeito com o cliente,Mais uma vez a Lught me traz grandes problemas. Hoje o técnico esteve na minha residência para informar que a luz seria cortada.,Respondida,2024-02-02,Neutro,normal
Falta de luz recorrente,Moro no entorno do Riocentro e constantemente falta energia no condomínio onde moro. A falta de energia é somente no condomínio Ba,Respondida,2024-02-01,Negativo,falta de luz
Não cumprimento do prazo de religação,"Fui a light solicitação a religação da luz, foi dado o prazo de 2 dias para que o serviço fosse feito. Os 2 dias se passaram e o s",Respondida,2024-02-01,Neutro,normal
Pagamento conta light vis QR Code caiu no banco Cora,"No dia 01/12/23 realizei o pagamento de uma conta de energia da Light no valor de R$ 73,42 via QRCode e caiu como destinatário o b",Respondida,2024-02-01,Negativo,normal
FALTA DE ENERGIA ELÉTRICA É CONSTANTE,Eu moro aqui na praia do cardo em Sepetiba na rua coronel Moura Dias 4a a falta de energia elétrica é constante a toda semana falt,,2024-02-01,Neutro,falta de luz
Religação de Energia Light,A Light alegou ter uma conta em débito na última segunda feira dia 29 de janeiro ( a qual já estava paga!!!!!!!) Foi paga no dia 2,Respondida,2024-02-01,Negativo,normal
Dívida negativada,"Então, eu estava em débito com vcs e fiz uma negociação no dia 5 de janeiro e paguei a primeira parcela! e já estamos em 31 de jan",Respondida,2024-02-01,Negativo,normal
o sistema tá sempre fora pra me ajudar.,"Estou com duas contas atrasadas e mais uma que ainda vai vencer. Estou a mais de um mês, tentando fazer o parcelamento e todo dia",Respondida,2024-02-01,Neutro,normal
Falta de luz continua,"Gostaria de registrar o péssimo serviço prestado pela companhia na localidade do CEP 25809-604, em três rios(rua dos ipes e Tavar",Respondida,2024-02-01,Neutro,falta de luz
FALTA DE LUZ + de 24h,"Já não é a primeira vez, isso tem acontecido COM MUITA RECORRÊNCIA NA RUA MOURA BRITO NA TIJUCA. NA ÚLTIMA VEZ FORAM 3 dias SEM LU",Respondida,2024-02-01,Neutro,falta de luz
Desrespeito com consumidor,"A light distribuiu comunicado ontem avisando que seria interrompido o fornecimento de energia, hoje,31/01/2024 , em algumas rua do",Respondida,2024-02-01,Neutro,normal
Reclamação sobre Cobrança [Editado pelo Reclame Aqui] - Conta de Energia,"Prezada Light,Eu, Fábio J. Santos, venho por meio desta expressar minha discordância em relação à cobrança presente em",Não respondida,2024-02-01,Neutro,normal
Corte de energia indevido,Estava com a conta do mês de Dezembro 23 em atraso e a de Janeiro iria vencer no dia 30/2024.No dia 30/01/24 efetuei o pagam,Respondida,2024-02-01,Negativo,normal
Light - Transformou a Ilha do Gov. em um inferno,A light está fazendo os moradores da Ilha do Governador viverem o inferno na terra desde o início do mês de Janeiro. Hoje levei 1,Respondida,2024-02-01,Neutro,normal
Não consigo acessar agencia virtual,Estou sem acesso a agência virtual e não consigo realizar nenhum serviço pelo WhatsApp porque está sempre fora do ar e manda nova,Não respondida,2024-02-01,Neutro,normal
Prestação de serviço horrível,"Moro em Engenheiro Paulo de Frontin no bairro Morro Azul e já fazem anos, digo mais 20 anos que não pode nem o tempo fechar que ac",Respondida,2024-02-01,Negativo,normal
Fatura por estimativa e valor altíssimo,"O CONDOMÍNIO BOTANIQUE 211, cliente da empresa GSB Energia Solar LTDA e proprietário da unidade consumidora******* (venc.: 19/02/2",Respondida,2024-02-01,Neutro,normal
"Sem luz na rua, fase ruim, sem luz no predio!","Sou moradora da Rua Moira Brito, na Tijuca. Ontem a noite ficamossem.uma fase. Parece que o problema é na rua. O predio sem elevad",,2024-02-01,Neutro,falta de luz
Acidente com 3 postes da light,No dia 18/01/2024 estava trabalhando de motoboy passei pelo bairro de São Francisco-Belford Roxo por volta de 17:20/17:40 e aconte,Não respondida,2024-02-01,Negativo,normal
Light se nega a fazer atualização cadastral do imóvel.,Comprei um imóvel da Caixa Econômica e fiz contato com o 0800 da Light solicitando o procedimento que devo ter em relação ao cadas,Respondida,2024-02-01,Neutro,normal
Declaração de quitação Light,Precoso com urgência de uma declaração de quitação de débitos de 2023 da Light mas é impossível conseguir porque o calendário dele,,2024-02-01,Neutro,normal
Light Deixa Rua na Barra da Tijucaa com varias casas sem uma das fases gerando prejuizo,"Bom diaPor favor, leiam com atenção.Desde o dia 25/01/24 por volta das 23:30 uma fase do disjuntor trifasico caiu e a",Respondida,2024-02-01,Positivo,falta de luz
FAZENDO CONSUMIDOR DE BESTA,"Estou com débitos nas duas instalações que possuo e com isso, tive minha energia cortada com 49 dias de atraso dia 29/01.Dia",Respondida,2024-02-01,Neutro,normal
Empresa não detalha os créditos usados na unidade compensação,"Na fatura a light não informa quantos de créditos de energia injetada foram utilizados no abatimento da conta , e não detalha val",Respondida,2024-02-01,Negativo,normal
Desligaram meu relógio com tudo pago em dia,O relógio está desligado e estou sem energia elétrico por dois dias.Já liguei incansavelmente para o serviço de atendimento,,2024-02-01,Neutro,normal
Dificuldade para conseguir a declaração de quitação de débitos,"Há algum tempo solicitei o cancelamento do contrato de energia referente ao endereço R MARIO AGOSTINELLI 50 BL 1 AP 1205 GR 1.4, B",Respondida,2024-02-01,Positivo,normal
NOME NEGATIVADO MESMO JÁ PAGO,"A Light negativou meu nome e eu fiz o pagamento, no site do Serasa e na ouvidoria o pagamento já constou, porém a light se recusa",Respondida,2024-02-01,Negativo,normal
Apagões constantes na Ilha do Governador,Eu e tantos outros moradores e comerciantes da Ilha temos vivido transtornos constantes com constantes apagões de longas horas e o,,2024-02-01,Neutro,normal
Falta de Luz Ilha do governador (2),Falta de luz Estou tendo falta de luz frequente no meu bairro.Irei registrar uma reclamação para cada falta de luz.,Respondida,2024-02-01,Negativo,falta de luz
Nome negativado indevidamente no serasa,Acessei o serasa limpa nome e consta uma divida negativada no meu niome. Vi que foi registrado por: LIGHT SERVICOS DE ELETRICIData,Não respondida,2024-02-01,Negativo,normal
Falta de energia,"Estou tendo problemas recorrentes com a light, só esse mês o poste já estornou 4x. Mas o problema maior é a falta de empatia da li",Respondida,2024-02-01,Neutro,falta de luz
Pix no aplicativo da light falso,"Entrei no aplicativo da light , não foi site foi o próprio aplicativo onde precisa até de senha para entrar e gerou um cód pix par",Respondida,2024-02-01,Negativo,normal
Contas Vencimento NOV23 constam pendentes no site da Light,Bom dia. Paguei 3 contas do mes NOV23 para mim estava tudo certo. Em JAN24 descobri um problema referente a quem recebeu os pagame,Respondida,2024-02-01,Neutro,normal
Light me faz cobrança sem expor a clareza do motivo pelo qual essa cobrança está existindo,A Light está me fazendo uma cobrança sem deixar claro o porque da cobrança quanto a Fatura referente a Janeiro de 2024 (que se ven,Respondida,2024-02-01,Neutro,falta de luz
Medidor impossível de vizualizar número pra leitura,Venho fazer uma reclamação. Solicitei a aferição do medidor devido altos valores na minha conta de energia. Fui olhar no medidor p,Não respondida,2024-02-01,Negativo,normal
Pagamento realizado e dívida não removida do Serasa,"Fiz o pagamento de uma dívida que estava no serasa no nome da minha avó e mesmo após o pagamento já constar, a Light se recusa a t",Respondida,2024-02-01,Negativo,normal
Descaso total com cliente,"No dia 31/12/2023 o fio do poste que alimenta nosso comércio e o medidor, pegaram fogo. Foi feito nesse dia contato com a emergênc",Respondida,2024-02-01,Negativo,normal
FURTO DE ENERGIA ELÉTRICA,"Bom dia!Gostaria de uma orientação.A dois meses venho reparado num pique de luz sempre ao final da tarde para noite, e",Respondida,2024-02-01,Negativo,normal
Dívida protestada,Minha dívida já está paga a meses e eles ainda não tiraram do Serasa o protesto . Solicito por gentileza que retirem meu nome do p,Respondida,2024-02-01,Neutro,normal
conta muito alta,"no dia 12 de dezembro de 2023 liguei para light para contestar o valor dessa fatura, sou baixa renda , e ate a data de hoje nada f",Respondida,2024-02-01,Negativo,normal
solicitação de parecer de acesso - elizabeth,"Enviamos todos os documentos para o atendimento e no dia 12 de janeiro, recebemos o protocolo *******, até hoje não recebemos o pa",Respondida,2024-02-01,Negativo,normal
Não consigo falar com um atendente para solicitar Declaração de data da ligação de energia no meu imóvel,Estou precisando de uma Declaração ou Certidão da Light de data da ligação da energia elétrica no meu imóvel mas não consigo falar,Respondida,2024-02-01,Negativo,normal
Nome protestado após o pagamento e solicitação de carta de anuência.,"Ocorre que em 06/01/2024 tomei ciência através do app do SERASA que um título havia sido colocado em protesto, em busca de maiores",Respondida,2024-02-01,Neutro,normal
Conta paga,Paguei uma conta de 300 e pouco reais l em 4 de dezembro de 2023 e estamos entrando em fevereiro e até agora nada de constar no si,Respondida,2024-02-01,Positivo,normal
Quedas de energia diariamente,"Desde novembro/2023 minha residência sofre com quedas diárias de energia. Algumas ocorrem durante apenas alguns segundos, e às vez",Respondida,2024-02-01,Neutro,normal
Cobrança exorbitante,"De acordo com o meu histórico de consumo, venho observando que a concessionária vem realizando cobranças absurdas na minha conta",Respondida,2024-02-01,Neutro,normal
LIGHT NÃO ACEITA PAGAMENTO NO CARTÃO DE CRÉDITO,"SEMPRE QUANDO TENTO PAGAR NO CARTÃO DE CRÉDITO, APARECE A SEGUINTE MENSAGEM: ""Ops! Acont",,2024-02-01,Negativo,normal
Falta de luz,"Desde as 3:30 do dia 30/01/2024, estou sem luz. Fiz várias ligações, para tentar resolver o problema, mais nada foi feito. A luz n",Respondida,2024-02-01,Positivo,falta de luz
Sem luz,Desde as 11hs do dia 30 d janeiro estamos com um problema de falta de luz por conta de um relógio blindado que a light instalou no,Respondida,2024-02-01,Negativo,falta de luz
Descaso com o consumidor,Desde de setembro de 2023 não recebo conta física desta empresa. Já fiz diversas reclamações para a ouvidoria e nada. Falam que vã,Respondida,2024-02-01,Neutro,normal
"Sem energia só na minha casa, sem nenhum motivo","Cheguei em casa com minha mãe e minha filha, por volta das 19 hrs e verificamos que estava sem energia, liguei para Light e inform",Respondida,2024-02-01,Neutro,falta de luz
PAGAMENTO PELO CARTAO DE DEBITO FOI CREDITADO NA MINHA CONTA MAS NO APP DA LIGHT NÃO,"Fiz meu pagamento dia 26/01/2023 pelo app da light, foi debitado no meu cartao de debito certinho o valor, mas eu fico entrando to",Respondida,2024-02-01,Negativo,normal
Ligação Nova,"Meu esposo solicitou uma ligação nova no dia 17/01/2024, protocolo*******, deram o prazo de 10 dias e até agora não fizeram a perí",Respondida,2024-02-01,Negativo,normal
Tampa.do.medidor.e tampa. Quebrada. E. Lacre rompido. Do.medidor. Essa.obra. Feito.por.proprio.funcionarios da.light,Bem. Semana. Passada. Dois funcionários. Da light. Chamara. Pela.titular.da.conta sendo que ela não estava nem o filho dela.,Respondida,2024-02-01,Neutro,normal
Contestar conta de luz,"Boa noite, mais uma vez venho aqui contestar o valor de outra conta de luz, na minha casa nada mudou, não tem ar condicionado, não",Respondida,2024-02-01,Neutro,normal
Rede com tensão mínima menor que o aceitável.,"Abri 3 reclamações junto à Light e uma junto à Aneel, sobre o problema:Uma das fases as vezes, oscila até chegar abaix",Respondida,2024-01-31,Neutro,normal
Meia fase,"Na Lucio Costa , perto do Bobs e do Adorê estamos com meia fase.",Respondida,2024-01-31,Neutro,normal
Quero um acordo,"Boa noite, no momento estou residindo no apartamento que minha mãe morava porém existe uma conta no qual tem que da uma entrada d",Respondida,2024-01-31,Negativo,normal
Descaso de atendimento resultando em possíveis riscos de vida.,"Houve queda na fase da minha residência, e o poste em frente a ela entrou em curto circuito e ficou prestes a incendiar, impedindo",Respondida,2024-01-31,Neutro,normal
gerador,"no dia 27/01 foi instalado em frente à minha casa um gerador enorme que além de soltar um cheiro forte de combustível, produz um b",Respondida,2024-01-31,Negativo,normal
Descaso,"Falta de luz no bloco , existe um armário que apenas equipe autorizada tem a chave para mexer, desde 12:30 sem energia, e nada se",Respondida,2024-01-31,Negativo,normal
Apagões diários,"Moro no Recreio dos Bandeirantes-RJ,CEP.22795-090 e, diariamente, principalmente a noite e sem quaisquer motivos aparentes tipo ch",Respondida,2024-01-31,Negativo,normal
Queda de luz constantes,Venho expressar minha insatisfação com as constantes quedas de energia que tenho enfrentado em minha residência nas últimas semana,Respondida,2024-01-31,Neutro,normal
Cobrando Absurdamente,"Estou dois meses em uma nova casa, e o segundo mês veio mais de 3x o valor da conta antiga. Sendo que, viajei durante uma semana n",Respondida,2024-01-31,Neutro,normal
EXCLUIR CONTA/EMAIL DA AGÊNCIA VIRTUAL LIGHT,Boa noite! Gostaria de excluir uma conta/email da Agência Virtual Light. O usuário utiliza meu email e gostaria de excluí-lo,Respondida,2024-01-31,Neutro,normal
Falta de luz,Olá boa tarde Estou sem energia desde ontem 29/01/24 por volta das 17hrs Tô com meu filho de 7 anos recém operado em c,,2024-01-31,Neutro,falta de luz
Oscilação de luz na casa há 3 dias,Há 3 duas minha casa está oscilando energia. Moro com um idoso de 83 anos e recebi minha prima autista nesse período e não pude of,Não respondida,2024-01-31,Neutro,normal
Falta de luz e baixa voltagem,"Estou a mais de 1 ano reclamando que a voltagem que recebo em minha casa é abaixo do permitido, várias equipes da light já constat",Não respondida,2024-01-31,Neutro,falta de luz
Fornecimento de Energia inadequado,"Solicitações de fornecimento de energia ruim (apenas 1 fase, nao funciona tomadas 220v do apartamento..). Sem atendimento tecnico,",Não respondida,2024-01-31,Neutro,normal
Pedido de pensão alimentícia na folha de pagamento,Boa noite. Desde o ano passado entrei com pedido de pensão alimentícia. O juiz determinou no dia 14/11/23 o pagamento direto,Não respondida,2024-01-31,Negativo,normal
Minha conta de luz de 2 meses para cá está vindo um absurdo,"Moro sozinha fico o dia todo fora e minha conta quase triplicou , nesse presente momento, venho relatar a cobrança por estimativa",Não respondida,2024-01-31,Neutro,normal
Conta de luz exageradamente alta,"Moro em uma casa que moram 3 pessoas, com 8 bicos de luz, não usamos ar condicionado, tenho uma geladeira, chuveiro elétrico, um c",Não respondida,2024-01-31,Neutro,normal
Sem energia novamente,Nesse exato momento estou sem energia novamente . Faltou energia no domingo fiz a reclamação nessa plataforma e agora no dia 30/01,Não respondida,2024-01-31,Negativo,falta de luz
Demora na e lzexub,A luz acabou aqui no meu estabelecimento no Domingo dia 28/01 as 23h.Foram realizadas inúmeras tentativas e diversos chamado,Não respondida,2024-01-31,Negativo,normal
LIGHT trocou o relógio de energia e a conta de luz triplicou,"Por volta de Agosto/Setembro de 2023 a LIGHT trocou o relógio da minha mãe, uma senhora de 80 anos de idade, que mora sozinha e co",Não respondida,2024-01-31,Neutro,normal
Falta de luz,"Boa tarde, estou desde sexta feira sem luz por inadimplência, na sexta mesmo dei um jeito e paguei as contas em atraso. Me avisara",Não respondida,2024-01-31,Neutro,falta de luz
Não consigo trocar meu nome,Estou tentando alterar meu nome na conta de casada para solteira e não consigo.,Respondida,2024-01-31,Neutro,normal
Ressarcimento de danos,Na data de 17/11/23 meu aparelho de ar condicionado foi danificado pela empresa Light. Após cumprir todas as solicitações da empre,Respondida,2024-01-31,Neutro,normal
RAMAL PARTIDO e site impossivel de registrar ocorrência,"Boa tarde, o ramal TRIFÁSICO, se encontra em curto e partido em uma emenda já feita pela própria light. Com as fortes chuvas dos ú",Não respondida,2024-01-31,Neutro,normal
Aumento de carga,"Depois de várias tentativas sem êxito, inclusive por aqui, ja foram feitas todas as alterações e correções exigidas! Precisamos de",Não respondida,2024-01-31,Neutro,normal
LIGHT NÃO PRESTA SERVIÇOS BÁSICOS E NEGLIGENCIA CLIENTES,Gostaria de denunciar o descaso que venho sofrendo por parte da Light. Um serviço que era pra ser prestado há quase 1 mês (20 dias,Não respondida,2024-01-31,Neutro,normal
Nem a ouvidoria da Light entende que a conta está paga,"Consta na agencia virtual Light uma conta de luz com vencimento em 10/11/2023, no valor de R$895,69 (que porém não possui código d",Não respondida,2024-01-31,Negativo,normal
Conta paga em Duplicidade,"Olá, eu paguei a minha conta de dezembro em Duplicidade, liguei hoje duas vezes e consegui resolver mandando eu ligar novamente em",Não respondida,2024-01-31,Positivo,normal
O suplício da ligação nova,Eu pedi uma ligação nova para a Light no dia 23 de janeiro. Eles deram cinco dias úteis para fazer a vistoria e a ligação.,Respondida,2024-01-31,Negativo,normal
Cobrança de religação sem ter cortado a luz,"A conta do mês de dezembro foi paga em atraso no dia 29/12/23 (vencimento 11/12/23), conta de janeiro paga normalmente. Esse perío",Respondida,2024-01-31,Negativo,falta de luz
Galhos das árvores,"Boa tarde, moro em Bangu/RJ, em frente a uma praça cheia de árvores, que estão com os galhos muito altos, encostando nos fios de e",Respondida,2024-01-31,Neutro,normal
FALTA DE LUZ A MAIS DE UMA SEMANA (INSTABILIDADE DE ENERGIA),"Nesse mês de Janeiro ,eu e meus vizinhos já perdemos as contas de quantas vezes ligamos e reclamamos na Light a semana toda estamo",Respondida,2024-01-31,Neutro,falta de luz
LIGHT NAO DISCRIMINA ENERGIA CONSUMIDA DA ENERGIA DISTRIBUIDA E TRANSMITIDA,Preciso dos dados separados de energia distribuida e transmitida e o respectivo ICMS cobrado em cada uma dela para poder prossegui,Respondida,2024-01-31,Neutro,normal
Sem resposta no pedido de troca de titularidade,"Fiz pedidos de troca de titularidade em 08/01/24 e em 16/01/24, recebi e-mail confirmando o recebimento dos pedidos, que estavam e",Respondida,2024-01-31,Neutro,falta de luz
Falta de energia,"Estou sem luz a 3 dias e mesmo reclamando na ouvidoria da light, não resolveu meu problema, fiz uma reclamação também na aneel, e",,2024-01-31,Neutro,falta de luz
Falta de organização e consideração pelo cliente,"No dia 31/10/2023 e no dia 01/11/2023, dei entrada em um pedido de solicitação de acesso, para a geração distribuída de duas usina",Respondida,2024-01-31,Negativo,falta de luz
Corte de luz sem aviso,Recebi no dia 30/01/2024 um SMS alertando sobre a pendência de pagamento na fatura que venceu em 02/01/2024. No mesmo momento tent,,2024-01-31,Negativo,falta de luz
Eletrodomésticos danificado,Na madrugada do dia 29/01/2024 ás 2h da manhã teve um apagão que só voltou a luz 11h da manhã e danificou minha geladeira agora a,Respondida,2024-01-31,Neutro,normal
Manutenção Programada,"Fiquei sabendo pelos vizinhos,que dia 01/02 iriar ter manutenção na minha Rua:Av Belo Horizonte,Bairro São Gabriel.Poderia me envi",,2024-01-31,Neutro,normal
Devido aquelas constantes minha televisão queimou.,"Boa tarde! Nos dias 20, 21 e 23 de Janeiro de 2024. Houveram mais de 80 quedas de luz, sendo que no dia 23 foi onde significativam",Respondida,2024-01-31,Negativo,normal
COBRANÇA ABUSIVA,O mês de janeiro foi e ainda está sendo cheio de interrupções no fornecimento de energia na Ilha do Governador e minha conta veio,Respondida,2024-01-31,Negativo,normal
Um ano sem energia eletrica na minha casa!,"Há mais de um ano estou sem as três fases de energia eletrica na minha casa, as contas estam em dia, no domingo veio um profission",,2024-01-31,Negativo,falta de luz
Falta de luz constante,Moro no CEP 27251310 e tda vez que chove minha rua (Manoel dos Santos Gonçalves) fica sem luz. Neste mês foram duas vzs. Uma durou,Respondida,2024-01-31,Negativo,falta de luz
Não consigo acessar minha conta na agencia virtual,Não consigo fazer login na Agência Virtual pois entra uma mensagem dizendo que meu cadastro nao existe.,Respondida,2024-01-31,Neutro,normal
Sem luz,"Estou sem luz dês das 5 horas da manhã do dia 29/01 segunda-feira. Tenho criança dentro de casa, moro sozinha com meus filhos, mor",Respondida,2024-01-31,Neutro,falta de luz
Não estão fazendo a leitura do relogio GD devidamente!!!,"Desde quando foi instalado o sistema do cliente Clovis Galvão (23357947), a light está fazendo a leitura por média, ou seja, não e",Respondida,2024-01-31,Neutro,normal
Protesto no Serasa,Fui protestada no Serasa com uma conta em atraso da light.Fui a um canal de atendimento e o valor ficou surreal e infe,Respondida,2024-01-31,Negativo,normal
Displicência com o cliente,Houve uma reclamação relatando que um caminhão passou na minha empresa no quinta-feira 25/01/2023 e arrancou todos os fios.O,Respondida,2024-01-31,Negativo,normal
"CONTAS ABSURDAS, NINGUEM ME DA UMA RESPOSTA SOBRE ALGO","DUAS CONTAS ABERTAS COM VALORES ABSURDOS, UM CONSUMO INEXISTENTE, MORO SOZINHO, TRABALHO FORA DIA INTEIRO, MINHA CASA SO TEM A GEL",Respondida,2024-01-31,Neutro,normal
Não consigo acessar AGÊNCIA VIRTUAL,"Tem vários meses que não consigo acessar agência virtual devido a senha. Não consigo recuperar a mesmo, pois está cadastrado com u",Respondida,2024-01-31,Neutro,normal
Projeto bônus,"A empresa light fez uma ação social na associação do meu bairro fazendo o cadastro para troca de geladeiras,ar condicionado,etc..e",Respondida,2024-01-31,Neutro,normal
Queda de tensão,"Primeiro o serviço prestado pela empresa é uma bosta, ja perdi uma geladeira por conta desse problema que está acontecendo, minha",Respondida,2024-01-31,Neutro,normal
Falta de luz,"Eu estou desde o dia 25/01 solicitando ligação da minha luz, foi enviado uma equipe no último sábado e eles disseram que não poder",Respondida,2024-01-31,Negativo,falta de luz
empresa falida,"a falta de luz de dias que teve na minha casa, fez minha geladeira parar, e como não consigo achar o ano que foi fabricada e não f",Respondida,2024-01-31,Neutro,normal
Cobrança [Editado pelo Reclame Aqui],"A dívida já foi quitada através do programa Desenrola Brasil do Governo Federal, peço que retire as mesmas dos canais de cobranças",,2024-01-31,Neutro,normal
solicitação de acesso - Paulo,"Foi enviado toda a documentação para o email atendimento tecnico com a finalidade do parecer de acesso para micro geração, recebem",Respondida,2024-01-31,Neutro,normal
Fios da rede pegando fogo,"Há meses que a energia tem tido quedas, é um apagar e acender de luzes sem fim.Semana passada a queda em de luz foi tanta qu",Respondida,2024-01-31,Neutro,normal
"Problemas com instalação, funcionários que parecem agir de [Editado pelo Reclame Aqui].","Eu estou a mais de 1 mês tentando uma nova ligação pela light, fiz todo procedimento, os técnicos colocam reprovado, sem ao menos",Respondida,2024-01-31,Neutro,normal
Cobrança abusiva,"E seguimos tendo problemas atrás de problemas com a concessionária de energia elétrica!Como dito anteriormente aqui, recente",Respondida,2024-01-31,Neutro,normal
Cabo energizado em rua residencial colocando em risco a vida dos pedestres e falta de energia e sem prazo de reparo! HÁ MAIS DE 15h!!!,Ontem por volta das 19h30 passou um caminhão na rua e arrebentou todos os fios deixando os fios energizados pelo chão desencapados,Respondida,2024-01-31,Neutro,falta de luz
"Sem energia há mais de uma semana, com bebê de 9 meses e [Editado pelo Reclame Aqui] visita da equipe técnica","Fiz um pedido de religação por mudança de titularidade em 22 de janeiro, quando me informaram na agência da light em Madureira que",,2024-01-31,Neutro,falta de luz
Conta com medição errada,"Bom dia, estou há 3 meses com aumento surreal na conta de luz, não fico em casa, pois eu e minha esposa trabalhamos, fiz reclamaçã",Respondida,2024-01-31,Neutro,normal
Vistorias e troca do medidor em extremo atraso para Geração distribuída,"Me encontro com diversas solicitações de vistorias/ troca de medidores para geração distribuída em extremo atraso, é inadmissível",Respondida,2024-01-31,Neutro,normal
Estou sem Luz e sem suporte da Light,"No dia 28/01 (Domingo) aconteceu dois estouros na fiação fora da minha residência, um estouro próximo ao poste e outro estouro pró",Respondida,2024-01-31,Negativo,falta de luz
FIO DEU CURTO E ESTOU SEM LUZ A 48 HORAS.,"Me chamo ******* Santana, sou morador do bairro de Ricardo de Albuquerque, já estou cansado de ligar pra Light vim verificar o pos",,2024-01-31,Neutro,falta de luz
Sem luz desde 15:30 do dia 29/01/24,Estou desde 15:30 fazendo contato com a light para informar a falta de luz que é somente na minha residência e até agr 00:23 NINGU,Respondida,2024-01-31,Neutro,falta de luz
